source	site	判定	http	备注	最终地址	原URL	页面标题	语料曲名
jianpucn-47883	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/47/47883.htm	http://www.jianpu.cn/pu/47/47883.htm	为什么我的真换来我的疼 歌谱简谱网	为什么我的真换来我的疼
jianpucn-130761	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/13/130761.htm	http://www.jianpu.cn/pu/13/130761.htm	为什么我露出幸福的笑容 歌谱简谱网	为什么我露出幸福的笑容
jianpucn-133848	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/13/133848.htm	http://www.jianpu.cn/pu/13/133848.htm	为你而来 歌谱简谱网	为你而来
jianpucn-158088	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/15/158088.htm	http://www.jianpu.cn/pu/15/158088.htm	为你而歌-阎维文 歌谱简谱网	为你而歌-阎维文
qupu123-335673	qupu123	ok(曲名命中)	200		https://www.qupu123.com/minge/liuzi/p335673.html	https://www.qupu123.com/minge/liuzi/p335673.html	为了碧水蓝天 _民歌曲谱_中国曲谱网	为了碧水蓝天
jianpucn-134769	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/13/134769.htm	http://www.jianpu.cn/pu/13/134769.htm	为共和国尽忠，为老百姓尽孝 歌谱简谱网	为共和国尽忠，为老百姓尽孝
qupu123-325012	qupu123	ok(曲名命中)	200		https://www.qupu123.com/tongsu/wuzi/p325012.html	https://www.qupu123.com/tongsu/wuzi/p325012.html	为人民服务 （赵明仁词 向琛子曲）_通俗曲谱_中国曲谱网	为人民服务
jianpucn-33509	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/33/33509.htm	http://www.jianpu.cn/pu/33/33509.htm	为共和国默默行军 歌谱简谱网	为共和国默默行军
qupu123-292951	qupu123	ok(曲名命中)	200		https://www.qupu123.com/jipu/p292951.html	https://www.qupu123.com/jipu/p292951.html	​为你我受冷风吹 _皓月禅心个人制谱园地_中国曲谱网	为你我受冷风吹
jianpucn-434383	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/43/434383.htm	http://www.jianpu.cn/pu/43/434383.htm	为农民唱首歌 阎维文 歌谱简谱网	为农民唱首歌
qupu123-370216	qupu123	ok(曲名命中)	200		https://www.qupu123.com/tongsu/sizi/p370216.html	https://www.qupu123.com/tongsu/sizi/p370216.html	为你歌唱 _落红个人制谱园地_中国曲谱网	为你歌唱
jianpucn-434382	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/43/434382.htm	http://www.jianpu.cn/pu/43/434382.htm	为农民喝彩 阎维文 歌谱简谱网	为农民喝彩
jianpucn-137190	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/13/137190.htm	http://www.jianpu.cn/pu/13/137190.htm	为君愁 歌谱简谱网	为君愁
qupu123-334158	qupu123	ok(曲名命中)	200		https://www.qupu123.com/hechang/wuzi/p334158.html	https://www.qupu123.com/hechang/wuzi/p334158.html	为平安守夜 _合唱曲谱_中国曲谱网	为平安守夜
jianpucn-85491	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/85/85491.htm	http://www.jianpu.cn/pu/85/85491.htm	为我好 歌谱简谱网	为我好
